Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Inside Out 2,"$1,698,863,816","$652,980,194",38.4%,"$1,045,883,622",61.6%
2,Deadpool & Wolverine,"$1,338,073,645","$636,745,858",47.6%,"$701,327,787",52.4%
3,Moana 2,"$1,053,422,063","$458,810,196",43.6%,"$594,611,867",56.4%
4,Despicable Me 4,"$969,126,452","$361,004,205",37.3%,"$608,122,247",62.7%
5,Wicked,"$728,099,160","$472,773,160",64.9%,"$255,326,000",35.1%
6,Dune: Part Two,"$714,644,358","$282,144,358",39.5%,"$432,500,000",60.5%
7,Mufasa: The Lion King,"$699,166,232","$245,423,551",35.1%,"$453,742,681",64.9%
8,Godzilla x Kong: The New Empire,"$571,850,016","$196,350,016",34.3%,"$375,500,000",65.7%
9,Kung Fu Panda 4,"$547,689,492","$193,590,620",35.3%,"$354,098,872",64.7%
10,Sonic the Hedgehog 3,"$483,300,605","$235,300,605",48.7%,"$248,000,000",51.3%
11,Venom: The Last Dance,"$478,892,552","$139,755,882",29.2%,"$339,136,670",70.8%
12,Gladiator II,"$461,865,254","$172,438,016",37.3%,"$289,427,238",62.7%
13,Beetlejuice Beetlejuice,"$451,900,435","$294,100,435",65.1%,"$157,800,000",34.9%
14,Yolo,"$433,593,489","$2,001,584",0.5%,"$431,591,905",99.5%
15,Pegasus 2,"$422,878,491",-,-,"$422,878,491",100%
16,Successor,"$422,307,398",-,-,"$422,307,398",100%
17,Bad Boys: Ride or Die,"$404,550,184","$193,573,217",47.8%,"$210,976,967",52.2%
18,Kingdom of the Planet of the Apes,"$397,378,150","$171,130,165",43.1%,"$226,247,985",56.9%
19,Twisters,"$372,262,265","$267,762,265",71.9%,"$104,500,000",28.1%
20,It Ends with Us,"$351,441,044","$148,518,266",42.3%,"$202,922,778",57.7%
21,Alien: Romulus,"$350,865,342","$105,313,091",30%,"$245,552,251",70%
22,The Wild Robot,"$330,617,945","$143,901,945",43.5%,"$186,716,000",56.5%
23,Article 20,"$306,899,794",-,-,"$306,899,794",100%
24,A Quiet Place: Day One,"$261,907,653","$139,051,884",53.1%,"$122,855,769",46.9%
25,Boonie Bears: Time Twist,"$250,923,394",-,-,"$250,923,394",100%
26,The Garfield Movie,"$234,674,514","$91,956,547",39.2%,"$142,717,967",60.8%
27,Joker: Folie à Deux,"$207,500,287","$58,300,287",28.1%,"$149,200,000",71.9%
28,Ghostbusters: Frozen Empire,"$201,967,521","$113,376,590",56.1%,"$88,590,931",43.9%
29,IF,"$190,535,708","$111,375,918",58.5%,"$79,159,790",41.5%
30,Red One,"$185,900,759","$97,000,759",52.2%,"$88,900,000",47.8%
31,The Fall Guy,"$181,073,291","$92,900,355",51.3%,"$88,172,936",48.7%
32,Bob Marley: One Love,"$180,916,602","$96,981,216",53.6%,"$83,935,386",46.4%
33,Nosferatu,"$178,782,235","$95,608,235",53.5%,"$83,174,000",46.5%
34,A Place Called Silence,"$174,225,088",-,-,"$174,225,088",100%
35,Furiosa: A Mad Max Saga,"$174,175,791","$67,475,791",38.7%,"$106,700,000",61.3%
36,The Volunteers: The Battle of Life and Death,"$153,429,899",-,-,"$153,429,899",100%
37,The Beekeeper,"$152,720,535","$66,220,535",43.4%,"$86,500,000",56.6%
38,Paddington in Peru,"$150,258,369","$25,258,369",16.8%,"$125,000,000",83.2%
39,Smile 2,"$138,128,854","$69,012,586",50%,"$69,116,268",50%
40,Transformers One,"$129,408,392","$59,098,421",45.7%,"$70,309,971",54.3%
41,Civil War,"$127,337,886","$68,756,072",54%,"$58,581,814",46%
42,Longlegs,"$126,942,386","$74,346,140",58.6%,"$52,596,246",41.4%
43,A Complete Unknown,"$110,157,927","$72,355,852",65.7%,"$37,802,075",34.3%
44,Detective Conan: The Million-Dollar Pentagram,"$108,136,957",-,-,"$108,136,957",100%
45,Mean Girls,"$104,970,953","$72,581,770",69.1%,"$32,389,183",30.9%
46,Madame Web,"$100,498,764","$43,817,106",43.6%,"$56,681,658",56.4%
47,Haikyu!! The Dumpster Battle,"$100,255,784","$7,071,622",7.1%,"$93,184,162",92.9%
48,Conclave,"$98,531,621","$32,259,300",32.7%,"$66,272,321",67.3%
49,Argylle,"$96,221,061","$45,207,275",47%,"$51,013,786",53%
50,Challengers,"$96,119,408","$50,119,408",52.1%,"$46,000,000",47.9%
51,Exhuma,"$93,891,418","$2,310,900",2.5%,"$91,580,518",97.5%
52,Terrifier 3,"$89,060,280","$53,981,071",60.6%,"$35,079,209",39.4%
53,A Little Something Extra,"$84,086,495",-,-,"$84,086,495",100%
54,Trap,"$83,677,281","$42,777,281",51.1%,"$40,900,000",48.9%
55,The Roundup: Punishment,"$80,426,848","$1,154,475",1.4%,"$79,272,373",98.6%
56,The Count of Monte-Cristo,"$77,524,938","$529,830",0.7%,"$76,995,108",99.3%
57,The Substance,"$77,102,205","$17,370,188",22.5%,"$59,732,017",77.5%
58,Speak No Evil,"$76,756,109","$36,931,420",48.1%,"$39,824,689",51.9%
59,Babygirl,"$62,889,273","$28,166,095",44.8%,"$34,723,178",55.2%
60,Kraven the Hunter,"$61,989,190","$25,026,310",40.4%,"$36,962,880",59.6%
61,Heretic,"$57,510,895","$27,728,647",48.2%,"$29,782,248",51.8%
62,We Live in Time,"$56,682,342","$24,692,924",43.6%,"$31,989,418",56.4%
63,Night Swim,"$54,768,317","$32,494,740",59.3%,"$22,273,577",40.7%
64,Kingdom 4: Return of the Great General,"$54,114,815",-,-,"$54,114,815",100%
65,The First Omen,"$53,845,880","$20,092,802",37.3%,"$33,753,078",62.7%
66,"I, the Executioner","$53,453,611","$388,067",0.7%,"$53,065,544",99.3%
67,Coraline 15th Anniversary,"$52,371,887","$33,626,425",64.2%,"$18,745,462",35.8%
68,Back to Black,"$51,026,615","$6,178,165",12.1%,"$44,848,450",87.9%
69,Tarot,"$49,256,239","$18,771,004",38.1%,"$30,485,235",61.9%
70,The Strangers: Chapter 1,"$48,166,448","$35,202,562",73.1%,"$12,963,886",26.9%
71,Blink Twice,"$48,093,906","$23,093,906",48%,"$25,000,000",52%
72,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$44,354,825","$17,657,658",39.8%,"$26,697,167",60.2%
73,Imaginary,"$43,787,034","$28,009,161",64%,"$15,777,873",36%
74,Abigail,"$42,791,449","$25,867,515",60.5%,"$16,923,934",39.5%
75,Fly Me to the Moon,"$42,255,755","$20,532,222",48.6%,"$21,723,533",51.4%
76,Arthur the King,"$40,856,831","$25,049,006",61.3%,"$15,807,825",38.7%
77,The Forge,"$40,395,051","$29,123,632",72.1%,"$11,271,419",27.9%
78,The Best Christmas Pageant Ever,"$40,262,167","$40,048,808",99.5%,"$213,359",0.5%
79,Cells at Work!,"$39,499,582",-,-,"$39,499,582",100%
80,Horizon: An American Saga - Chapter 1,"$38,735,702","$29,035,702",75%,"$9,700,000",25%
81,Anora,"$38,105,404","$15,573,404",40.9%,"$22,532,000",59.1%
82,Interstellar 2024 Re-release,"$37,938,572","$15,207,563",40.1%,"$22,731,009",59.9%
83,Last Mile,"$37,164,152",-,-,"$37,164,152",100%
84,The Brutalist,"$36,628,412","$15,152,412",41.4%,"$21,476,000",58.6%
85,The Bikeriders,"$36,159,144","$21,746,895",60.1%,"$14,412,249",39.9%
86,Mobile Suit Gundam SEED Freedom,"$36,038,764",-,-,"$36,038,764",100%
87,Beating Hearts,"$36,001,883",-,-,"$36,001,883",100%
88,Immaculate,"$35,340,015","$15,671,307",44.3%,"$19,668,708",55.7%
89,Monkey Man,"$35,271,631","$25,116,955",71.2%,"$10,154,676",28.8%
90,Harbin,"$33,758,388","$951,874",2.8%,"$32,806,514",97.2%
91,Doraemon the Movie: Nobita's Earth Symphony,"$33,399,912",-,-,"$33,399,912",100%
92,The Watchers,"$33,371,404","$19,071,404",57.1%,"$14,300,000",42.9%
93,Borderlands,"$32,978,510","$15,482,668",46.9%,"$17,495,842",53.1%
94,Harold and the Purple Crayon,"$32,227,855","$17,640,924",54.7%,"$14,586,931",45.3%
95,My Hero Academia: You're Next,"$32,224,616","$5,041,781",15.6%,"$27,182,835",84.4%
96,Pilot,"$30,917,972",-,-,"$30,917,972",100%
97,A Strange House,"$30,864,331",-,-,"$30,864,331",100%
98,Reagan,"$30,107,173","$30,047,417",99.8%,"$59,756",0.2%
99,Finist. The First Warrior,"$29,914,223",-,-,"$29,914,223",100%
100,The Ministry of Ungentlemanly Warfare,"$29,715,044","$20,535,053",69.1%,"$9,179,991",30.9%
101,The Dark Knight Rises 2024 Re-release,"$29,686,991",-,-,"$29,686,991",100%
102,Chantal in Fairyland,"$29,663,607",-,-,"$29,663,607",100%
103,The Master and Margarita,"$28,029,328",-,-,"$28,029,328",100%
104,I'm Still Here,"$27,268,407","$4,264,095",15.6%,"$23,004,312",84.4%
105,Wicked Little Letters,"$27,219,729","$5,008,179",18.4%,"$22,211,550",81.6%
106,Kalki 2898 AD,"$25,331,842","$18,289,575",72.2%,"$7,042,267",27.8%
107,School of Magical Animals 3,"$25,127,507",-,-,"$25,127,507",100%
108,Grand Maison Paris,"$25,099,386",-,-,"$25,099,386",100%
109,The Firefighters,"$25,032,994",-,-,"$25,032,994",100%
110,Juror #2,"$24,800,000",-,-,"$24,800,000",100%
111,Crayon Shin-chan: Ora's Dinosaur Diary,"$24,247,540",-,-,"$24,247,540",100%
112,The Crow,"$24,109,036","$9,275,659",38.5%,"$14,833,377",61.5%
113,Lee,"$23,547,146","$2,005,488",8.5%,"$21,541,658",91.5%
114,"Hello, Love, Again","$22,881,613","$2,625,000",11.5%,"$20,256,613",88.5%
115,MaXXXine,"$22,057,160","$15,097,632",68.4%,"$6,959,528",31.6%
116,Autumn and the Black Jaguar,"$22,020,338","$546,879",2.5%,"$21,473,459",97.5%
117,Pushpa: The Rule - Part 2,"$21,899,684","$13,000,000",59.4%,"$8,899,684",40.6%
118,Mai,"$21,714,524",-,-,"$21,714,524",100%
119,The Marching Band,"$21,526,060",-,-,"$21,526,060",100%
120,Unsung Hero,"$21,214,331","$20,335,239",95.9%,"$879,092",4.1%
121,A Real Pain,"$21,117,697","$8,337,404",39.5%,"$12,780,293",60.5%
122,Homestead,"$20,806,291","$20,806,291",100%,-,-
123,Lyod 3,"$20,615,744",-,-,"$20,615,744",100%
124,Cabrini,"$20,590,202","$19,512,134",94.8%,"$1,078,068",5.2%
