Title,Year,Genres,Rating,Runtime,Director,Writer,Actors,Plot,Language,Country
The Help,2011,Drama,8.2,146,Tate Taylor,,"Emma Stone, Viola Davis, Bryce Dallas Howard","Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",en,US
Samsara,2011,Documentary,8.1,102,Ron Fricke,Mark Magidson,"Ni Made Megahadi Pratiwi, Puti Sri Candra Dewi, Putu Dinda Pratika","Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders.",en,US
Harry Potter and the Deathly Hallows: Part 2,2011,"Fantasy, Adventure",8.1,130,David Yates,,"Daniel Radcliffe, Emma Watson, Rupert Grint","Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",en,GB
Kill Bill: The Whole Bloody Affair,2011,"Action, Crime, Thriller",8.0,247,Quentin Tarantino,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox","An assassin is shot and almost killed by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",en,US
Warrior,2011,"Drama, Action",7.8,140,Gavin O'Connor,,"Joel Edgerton, Tom Hardy, Nick Nolte","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament – a path that puts the fighter on a collision course with his estranged, older brother.",en,US
Scooby-Doo! Legend of the Phantosaur,2011,"Animation, Mystery, Comedy, Family",7.79,75,Ethan Spaulding,Doug Langdale,"Frank Welker, Mindy Cohn, Grey DeLisle","A relaxing spa getaway evolves into a prehistoric panic when Scooby-Doo and the gang uncover the horrible Phantosaur, an ancient legend come to life to protect hidden treasures buried in secret desert caves. But this scare-a-saurus doesn’t stand a chance with Shaggy around, after he finds his inner hero with the help of new-age hypnosis. Like, it makes him more brave and less hungry!",en,US
Drive,2011,"Drama, Thriller, Crime",7.6,100,Nicolas Winding Refn,,"Ryan Gosling, Carey Mulligan, Bryan Cranston","Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.",en,US
Courageous,2011,Drama,7.573,129,Alex Kendrick,Stephen Kendrick,"Ken Bevel, Alex Kendrick, Kevin Downes","Law enforcement officers Adam Mitchell, Nathan Hayes, and their partners stand up to the worst the streets have to offer with confidence and focus. Yet at the end of the day, they face a challenge that none of them are truly prepared to tackle: fatherhood. They know that God desires to turn the hearts of fathers to their children, but their children are beginning to drift further and further away from them. When tragedy hits home, these men are left wrestling with their hopes, their fears, their faith, and their fathering. Can a newfound urgency help these dads draw closer to God... and to their children?",en,US
We Need to Talk About Kevin,2011,"Drama, Thriller",7.5,113,Lynne Ramsay,,"Tilda Swinton, John C. Reilly, Ezra Miller","After her son Kevin commits a horrific act, troubled mother Eva reflects on her complicated relationship with her disturbed son as he grew from a toddler into a teenager.",en,"GB, US"
Barbie: Princess Charm School,2011,"Family, Animation, Fantasy",7.5,79,Ezekiel Norton,Kati Rocky,"Diana Kaarina, Morwenna Banks, Nicole Oliver","Barbie stars as Blair Willows, a kind-hearted girl who is chosen to attend Princess Charm School: a magical, modern place that teaches dancing, how to have tea parties, and proper princess manners. Blair loves her classes -- as well as the helpful magical sprites and her new friends, Princesses Hadley and Isla. But when royal teacher Dame Devin discovers that Blair looks a lot like the kingdom’s missing princess, she turns Blair’s world upside down to stop her from claiming the throne. Now Blair, Hadley and Delancy must find an enchanted crown to prove Blair’s true identity in this charming and magical princess story!",en,US
Midnight in Paris,2011,"Fantasy, Comedy, Romance",7.5,94,Woody Allen,Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",en,US
50 Greatest Harry Potter Moments,2011,Documentary,7.5,93,,,"Robbie Coltrane, Daniel Radcliffe, Emma Watson","To mark the release two weeks ago of the eighth and final movie in the series, Robbie Coltrane narrates a countdown of the movie franchise's best moments. From Harry's first meeting with Ron and Hermione aboard the Hogwarts Express through to magical mysteries.",en,GB
One Day,2011,"Drama, Romance",7.422,107,Lone Scherfig,,"Anne Hathaway, Jim Sturgess, Tom Mison","A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.",en,"US, GB"
The Girl with the Dragon Tattoo,2011,"Thriller, Crime, Mystery",7.4,158,David Fincher,Steven Zaillian,"Daniel Craig, Rooney Mara, Christopher Plummer","Disgraced journalist Mikael Blomkvist investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",en,US
