Title,Year,Genres,Rating,Popularity,Runtime,Director,Writer,Actors,Keywords,Plot,Ratings Amount,Language,Country
Zack Snyder's Justice League,2021,"Action, Adventure, Fantasy",8.129,27.954,242,Zack Snyder,,"Ben Affleck, Henry Cavill, Gal Gadot","saving the world, superhero, resurrection, based on comic, superhero team, planet invasion, action hero, dc extended universe (dceu), superhero teamup","Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",10131,en,US
Palmer,2021,Drama,8.1,11.05,110,Fisher Stevens,Cheryl Guerriero,"Justin Timberlake, Ryder Allen, Juno Temple","small town, homophobia, young boy, ex-con, house trailer, bullied, irresponsible parent, adult child friendship, guardianship, drug addict","After 12 years in prison, former high school football star Eddie Palmer returns home to put his life back together—and forms an unlikely bond with Sam, an outcast boy from a troubled home. But Eddie's past threatens to ruin his new life and family.",1658,en,US
Bo Burnham: Inside,2021,"Comedy, Drama",8.0,7.557,87,Bo Burnham,Bo Burnham,Bo Burnham,"quarantine, stand-up comedy, breaking the fourth wall, youtube, mental illness, sketch comedy, pandemic, internet culture, musical comedy, covid-19, one man crew, facetime","Stuck in COVID-19 lockdown, US comedian and musician Bo Burnham attempts to stay sane and happy by writing, shooting and performing a one-man comedy special.",514,en,US
Cruella,2021,"Comedy, Crime, Family, Adventure",7.999,26.191,134,Craig Gillespie,,"Emma Stone, Emma Thompson, Joel Fry","1970s, anti hero, villain, punk rock, fashion designer, fashion, origin story, live action remake","In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",9472,en,US
CODA,2021,"Drama, Music, Romance",7.935,9.78,112,Siân Heder,,"Emilia Jones, Marlee Matlin, Troy Kotsur","parent child relationship, music teacher, fishing, deaf, massachusetts, coming of age, remake, singing, family, first love, disability, based on movie, woman director, sign languages, school choir, music school, calm, asl, loving, teenager, appreciative","As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.",2294,en,US
Spider-Man: No Way Home,2021,"Action, Adventure, Science Fiction",7.9,76.863,148,Jon Watts,Chris McKenna,"Tom Holland, Zendaya, Benedict Cumberbatch","new york city, hero, showdown, magic, loss of loved one, secret identity, superhero, villain, portal, sequel, vigilante, superhero team, masked vigilante, spider web, alternative reality, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), fight for justice, teen superhero, superhero teamup, returning hero, crossover, teamwork, admiring","Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",20547,en,US
Wish Dragon,2021,"Animation, Family, Comedy, Fantasy",7.9,11.781,99,Chris Appelhans,Amy Bloom,"Jimmy Wong, John Cho, Constance Wu","wish, dragon",Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,1362,en,US
Ron's Gone Wrong,2021,"Animation, Science Fiction, Family, Comedy",7.9,11.617,107,Sarah Smith,Sarah Smith,"Zach Galifianakis, Jack Dylan Grazer, Ed Helms","family, best friend forever","In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",1880,en,"US, GB"
Nobody,2021,"Action, Thriller",7.9,18.067,92,Ilya Naishuller,,"Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen","assassin, double life, fight, midlife crisis, bratva (russian mafia), secret organization, thief, home invasion, family, brawl, duringcreditsstinger, aggressive, tense","Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",7236,en,US
Friends: The Reunion,2021,Documentary,7.9,7.476,104,Ben Winston,,"Jennifer Aniston, Courteney Cox, Lisa Kudrow","reunion, friends, sitcom, tv series reunion","The cast of Friends reunites for a once-in-a-lifetime celebration of the hit series, an unforgettable evening filled with iconic memories, uncontrollable laughter, happy tears, and special guests.",1225,en,US
The Immortal Wars: Rebirth,2021,Science Fiction,7.9,8.925,84,Joe Lujan,Joe Lujan,"Corey Taylor, Destiny Salas, Lindsey Cruz",,Rebirth takes place during the early brutal stages of Dominion Industries. In this story watch Olive and other deviants undergo a series of deadly experiments lead by Laurie Harvey and her team.,30,en,US
Sing 2,2021,"Animation, Family, Music, Comedy",7.9,26.863,110,Garth Jennings,Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Scarlett Johansson","wolf, stage, villain, sequel, anthropomorphism, singing, thug, animals, villain arrested, illumination, suspenseful","Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",4457,en,US
The Mitchells vs. the Machines,2021,"Animation, Adventure, Comedy",7.893,18.148,110,Mike Rianda,Jeff Rowe,"Abbi Jacobson, Danny McBride, Maya Rudolph","man vs machine, technology, dysfunctional family, family relationships, family drama, father daughter conflict, evil robot, inspirational","A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",2999,en,US
Finch,2021,"Science Fiction, Drama, Adventure",7.856,12.971,115,Miguel Sapochnik,Craig Luck,"Tom Hanks, Caleb Landry Jones, Oscar Avila","robot, taunting, questioning, journey, speculative, humanity, unassuming, reflective, wistful, post-apocalyptic, provocative, witty, sinister, whimsical, pretentious, sincere, skeptical, straightforward, sympathetic, tragic, vibrant","On a post-apocalyptic Earth, a robot, built to protect the life of his dying creator's beloved dog, learns about life, love, friendship, and what it means to be human.",3606,en,US
Gone Mom: The Disappearance of Jennifer Dulos,2021,"TV Movie, Thriller, Crime",7.8,8.771,88,Gail Harvey,Richard Blaney,"Annabeth Gish, Warren Christie, Laura Harris",,"Jennifer Dulos, the wealthy, Connecticut mother-of-five who mysteriously vanished.",234,en,US
Luca,2021,"Animation, Comedy, Fantasy, Adventure, Family",7.8,27.429,95,Enrico Casarosa,,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman","friendship, monster, italy, villain, coming of age, friends, bromance, sea monster, vespa, aftercreditsstinger, seaside town, 1950s, pasta, water, italian riviera, pesto",Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,8446,en,US
